(0.0, 1647928020.7925398)
(0.0, 1647928020.823203)
(0.0, 1647928020.853191)
(0.0, 1647928020.867688)
(0.0, 1647928020.8834188)
(0.0, 1647928020.884295)
(0.0, 1647928020.898428)
(0.0, 1647928020.913703)
(0.0, 1647928020.942589)
(0.0, 1647928020.943372)
(0.0, 1647928020.9587789)
(0.0, 1647928020.97322)
(0.0, 1647928020.98801)
(0.0, 1647928021.003593)
(0.0, 1647928021.0186691)
(0.0, 1647928021.03343)
(0.0, 1647928021.049011)
(0.0, 1647928021.0640152)
(0.0, 1647928021.077771)
(0.0, 1647928021.093765)
(0.0, 1647928021.094079)
(0.0, 1647928021.137599)
(0.0, 1647928021.138394)
(0.0, 1647928021.1532822)
(0.0, 1647928021.167792)
(0.0, 1647928021.18267)
(0.0, 1647928021.1980329)
(0.0, 1647928021.212874)
(0.0, 1647928021.227747)
(0.0, 1647928021.243477)
(0.0, 1647928021.259137)
(0.0, 1647928021.272706)
(0.0, 1647928021.288248)
(0.0, 1647928021.3028128)
(0.0, 1647928021.317597)
(0.0, 1647928021.332729)
(0.0, 1647928021.348238)
(0.0, 1647928021.362371)
(0.0, 1647928021.3785841)
(0.0, 1647928021.3788228)
(0.0, 1647928021.408353)
(0.0, 1647928021.4236748)
(0.0, 1647928021.4394162)
(0.0, 1647928021.453964)
(0.0, 1647928021.468537)
(0.0, 1647928021.48299)
(0.0, 1647928021.4975328)
(0.0, 1647928021.5133288)
(0.0, 1647928021.528794)
(0.0, 1647928021.543044)
(0.0, 1647928021.5725389)
(0.0, 1647928021.573345)
(0.0, 1647928021.5880902)
(0.0, 1647928021.602794)
(0.0, 1647928021.617306)
(0.0, 1647928021.6355278)
(0.0, 1647928021.636214)
(0.0, 1647928021.663904)
(0.0, 1647928021.678897)
(0.0, 1647928021.692756)
(0.0, 1647928021.707285)
(0.0, 1647928021.722286)
(0.0, 1647928021.7231748)
(0.0, 1647928021.7533078)
(0.0, 1647928021.754051)
(0.0, 1647928021.783276)
(0.0, 1647928021.813462)
(0.0, 1647928021.827651)
(0.0, 1647928021.843113)
(0.0, 1647928021.8731751)
(0.0, 1647928021.888299)
(0.0, 1647928021.917804)
(0.0, 1647928021.9481862)
(0.0, 1647928021.978086)
(0.0, 1647928022.008147)
(0.0, 1647928022.03779)
(0.0, 1647928022.067622)
(0.0, 1647928022.0832691)
(0.0, 1647928022.128466)
(0.0, 1647928022.158205)
(0.0, 1647928022.203129)
(0.0, 1647928022.218078)
(0.0, 1647928022.248397)
(0.0, 1647928022.2785878)
(0.0, 1647928022.308369)
(0.0, 1647928022.3381162)
(0.0, 1647928022.368465)
(0.0, 1647928022.398102)
(0.0, 1647928022.428478)
(0.0, 1647928022.458146)
(0.0, 1647928022.488087)
(0.0, 1647928022.517428)
(0.0, 1647928022.5473988)
(0.0, 1647928022.577358)
(0.0, 1647928022.6074429)
(0.0, 1647928022.637732)
(0.0, 1647928022.6675909)
(0.0, 1647928022.6977909)
(0.0, 1647928022.727499)
(0.0, 1647928022.757345)
(0.0, 1647928022.787318)
(0.0, 1647928022.817413)
(0.0, 1647928022.847689)
(0.0, 1647928022.877676)
(50.0, 1647928023.462966)
(88.43998718261719, 1647928023.49375)
(88.43998718261719, 1647928023.5083368)
(50.0, 1647928023.522479)
(50.0, 1647928023.5226939)
(58.99065017700195, 1647928023.552644)
(58.99065017700195, 1647928023.5531452)
(77.7657470703125, 1647928023.58367)
(77.7657470703125, 1647928023.58373)
(89.20719909667969, 1647928023.612844)
(89.20719909667969, 1647928023.613333)
(96.12950134277344, 1647928023.628202)
(96.12950134277344, 1647928023.658298)
(100.0, 1647928023.674141)
(100.0, 1647928023.6742022)
(100.0, 1647928023.7032309)
(100.0, 1647928023.703646)
(100.0, 1647928023.732457)
