2022-05-20 01:17:13,229 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:23:26,048 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:23:32,072 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:31:53,774 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 01:31:53,774 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 01:31:53,775 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:32:28,948 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:32:38,670 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:32:40,944 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:32:43,785 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:37:20,634 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 01:39:29,214 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:39:32,885 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:39:35,701 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:41:03,459 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 01:41:03,459 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 01:41:03,460 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:41:08,351 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:42:58,018 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:45:01,758 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 01:45:01,758 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 01:45:01,760 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:45:04,598 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:48:04,291 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:48:18,614 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:48:21,438 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:50:40,500 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:51:28,509 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:51:31,327 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 01:52:56,589 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 01:53:07,885 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 01:53:10,876 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:01:00,600 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-05-20 02:08:42,373 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:08:42,374 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:08:42,374 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:08:45,212 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:12:10,477 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:12:10,478 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:12:10,478 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:12:13,449 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:13:56,269 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 02:13:56,270 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 02:13:56,270 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 02:13:59,165 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 02:18:23,850 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
