(578.0, 1647332804.439598)
(595.0, 1647332804.439688)
(595.0, 1647332804.4397671)
(606.0, 1647332804.439873)
(606.0, 1647332804.439948)
(658.0, 1647332804.440023)
(658.0, 1647332804.440097)
(692.0, 1647332804.440172)
(692.0, 1647332804.440245)
(700.0, 1647332804.4403179)
(700.0, 1647332804.440392)
(700.0, 1647332804.4404638)
(686.0, 1647332804.4405382)
(645.0, 1647332804.440613)
(574.0, 1647332804.4406888)
(574.0, 1647332804.440762)
(574.0, 1647332804.4408362)
(506.0, 1647332804.4409091)
(506.0, 1647332804.440983)
(506.0, 1647332804.441056)
(428.0, 1647332804.44113)
(428.0, 1647332804.441204)
(335.0, 1647332804.441277)
(335.0, 1647332804.4413261)
(243.0, 1647332804.441374)
(243.0, 1647332804.441447)
(151.0, 1647332804.441521)
(151.0, 1647332804.4415941)
(77.0, 1647332804.441667)
(77.0, 1647332804.44174)
(13.0, 1647332804.441813)
(13.0, 1647332804.441886)
(41.0, 1647332804.4419599)
(41.0, 1647332804.442032)
(41.0, 1647332804.442105)
(82.0, 1647332804.442178)
(82.0, 1647332804.442251)
(118.0, 1647332804.442323)
(118.0, 1647332804.4423969)
(160.0, 1647332804.442471)
(160.0, 1647332804.4425442)
(160.0, 1647332804.4426181)
(199.0, 1647332804.442691)
(199.0, 1647332804.442764)
(199.0, 1647332804.442838)
(240.0, 1647332804.442911)
(280.0, 1647332804.442985)
(280.0, 1647332804.4430342)
(280.0, 1647332804.443082)
(322.0, 1647332804.443131)
(322.0, 1647332804.44318)
(335.0, 1647332804.443228)
(335.0, 1647332804.443276)
(335.0, 1647332804.443325)
(354.0, 1647332804.4433742)
(354.0, 1647332804.443447)
(356.0, 1647332804.44352)
(356.0, 1647332804.443593)
(356.0, 1647332804.443666)
(349.0, 1647332804.4437382)
(349.0, 1647332804.443787)
(349.0, 1647332804.443836)
(349.0, 1647332804.4438841)
(347.0, 1647332804.4439318)
(347.0, 1647332804.44398)
(348.0, 1647332804.4440289)
(348.0, 1647332804.444078)
(348.0, 1647332804.444126)
(348.0, 1647332804.444174)
(342.0, 1647332804.444222)
(342.0, 1647332804.444271)
(344.0, 1647332804.44432)
(344.0, 1647332804.444368)
(344.0, 1647332804.444417)
(344.0, 1647332804.4444659)
(344.0, 1647332804.444514)
(344.0, 1647332804.444563)
(347.0, 1647332804.444615)
(347.0, 1647332804.4446652)
(347.0, 1647332804.444715)
(347.0, 1647332804.444764)
(344.0, 1647332804.444813)
(344.0, 1647332804.444861)
(346.0, 1647332804.44491)
(346.0, 1647332804.4449642)
(346.0, 1647332804.445013)
(345.0, 1647332804.445062)
(345.0, 1647332804.445111)
(345.0, 1647332804.44516)
(343.0, 1647332804.445208)
(343.0, 1647332804.445257)
(343.0, 1647332804.445305)
(346.0, 1647332804.445354)
(346.0, 1647332804.445407)
(346.0, 1647332804.4454558)
(345.0, 1647332804.4455051)
(345.0, 1647332804.445569)
(345.0, 1647332804.445656)
(345.0, 1647332804.445707)
(345.0, 1647332804.445756)
(345.0, 1647332804.445805)
(346.0, 1647332804.445855)
(346.0, 1647332804.4459038)
(346.0, 1647332804.4459689)
(346.0, 1647332804.4460192)
(346.0, 1647332804.446068)
(346.0, 1647332804.4461172)
(349.0, 1647332804.446166)
(349.0, 1647332804.4462159)
(349.0, 1647332804.4462678)
(347.0, 1647332804.446317)
(347.0, 1647332804.446367)
(347.0, 1647332804.446416)
(346.0, 1647332804.446465)
(346.0, 1647332804.446514)
(348.0, 1647332804.4465642)
(348.0, 1647332804.44665)
(348.0, 1647332804.446732)
(346.0, 1647332804.4467819)
(346.0, 1647332804.446831)
(346.0, 1647332804.446879)
(346.0, 1647332804.4469278)
(346.0, 1647332804.4469771)
(346.0, 1647332804.447026)
(346.0, 1647332804.4470751)
(346.0, 1647332804.447123)
(346.0, 1647332804.4471722)
(346.0, 1647332804.447221)
(348.0, 1647332804.4472718)
(348.0, 1647332804.4473228)
(348.0, 1647332804.447374)
(346.0, 1647332804.447475)
(346.0, 1647332804.4475331)
(346.0, 1647332804.447583)
(344.0, 1647332804.474328)
