(565.0, 1647333224.7077482)
(565.0, 1647333224.7078888)
(601.0, 1647333224.70804)
(601.0, 1647333224.708184)
(601.0, 1647333224.7083468)
(577.0, 1647333224.708491)
(577.0, 1647333224.7086358)
(577.0, 1647333224.708777)
(637.0, 1647333224.70893)
(637.0, 1647333224.7090628)
(637.0, 1647333224.709193)
(637.0, 1647333224.709326)
(637.0, 1647333224.709455)
(647.0, 1647333224.709586)
(647.0, 1647333224.709714)
(647.0, 1647333224.709847)
(647.0, 1647333224.709978)
(647.0, 1647333224.7101068)
(641.0, 1647333224.7102752)
(641.0, 1647333224.71042)
(641.0, 1647333224.71055)
(641.0, 1647333224.710707)
(659.0, 1647333224.7108731)
(659.0, 1647333224.711023)
(662.0, 1647333224.711242)
(662.0, 1647333224.711484)
(662.0, 1647333224.711565)
(643.0, 1647333224.7116401)
(643.0, 1647333224.711766)
(643.0, 1647333224.711849)
(606.0, 1647333224.711923)
(606.0, 1647333224.711998)
(606.0, 1647333224.7120728)
(567.0, 1647333224.712148)
(567.0, 1647333224.7122219)
(567.0, 1647333224.712296)
(567.0, 1647333224.712369)
(567.0, 1647333224.7124429)
(539.0, 1647333224.712516)
(539.0, 1647333224.71259)
(503.0, 1647333224.7126641)
(503.0, 1647333224.712739)
(503.0, 1647333224.712814)
(503.0, 1647333224.712939)
(462.0, 1647333224.7130141)
(462.0, 1647333224.713087)
(462.0, 1647333224.713161)
(413.0, 1647333224.713272)
(413.0, 1647333224.713402)
(413.0, 1647333224.713523)
(413.0, 1647333224.713676)
(413.0, 1647333224.713807)
(370.0, 1647333224.7139351)
(370.0, 1647333224.714079)
(370.0, 1647333224.714226)
(370.0, 1647333224.714354)
(331.0, 1647333224.714463)
(331.0, 1647333224.7145119)
(290.0, 1647333224.71457)
(290.0, 1647333224.7146611)
(290.0, 1647333224.7147431)
(290.0, 1647333224.714817)
(257.0, 1647333224.71491)
(257.0, 1647333224.7150059)
(257.0, 1647333224.7150981)
(232.0, 1647333224.715179)
(232.0, 1647333224.7153091)
(232.0, 1647333224.715457)
(221.0, 1647333224.7156632)
(221.0, 1647333224.715787)
(221.0, 1647333224.715921)
(226.0, 1647333224.716053)
(226.0, 1647333224.716185)
(226.0, 1647333224.716317)
(226.0, 1647333224.716448)
(228.0, 1647333224.7165911)
(228.0, 1647333224.716733)
(228.0, 1647333224.7168682)
(228.0, 1647333224.717)
(230.0, 1647333224.717406)
(230.0, 1647333224.717566)
(230.0, 1647333224.717643)
(230.0, 1647333224.717719)
(231.0, 1647333224.7177951)
(231.0, 1647333224.71787)
(231.0, 1647333224.7179441)
(231.0, 1647333224.7180212)
(231.0, 1647333224.718095)
(231.0, 1647333224.718169)
(231.0, 1647333224.718246)
(231.0, 1647333224.7183201)
(234.0, 1647333224.718395)
(234.0, 1647333224.7184708)
(234.0, 1647333224.7185469)
(234.0, 1647333224.718622)
(234.0, 1647333224.718695)
(234.0, 1647333224.7187688)
(234.0, 1647333224.718842)
(234.0, 1647333224.718994)
(238.0, 1647333224.719137)
(238.0, 1647333224.719274)
(238.0, 1647333224.719404)
(238.0, 1647333224.719539)
(238.0, 1647333224.719669)
(238.0, 1647333224.719809)
(238.0, 1647333224.719937)
(238.0, 1647333224.7200372)
(238.0, 1647333224.7201128)
(239.0, 1647333224.7201989)
(239.0, 1647333224.720335)
(239.0, 1647333224.720479)
(241.0, 1647333224.72063)
(241.0, 1647333224.72073)
(241.0, 1647333224.720871)
(241.0, 1647333224.720948)
(240.0, 1647333224.721024)
(240.0, 1647333224.72113)
(240.0, 1647333224.721205)
(240.0, 1647333224.721282)
(240.0, 1647333224.721356)
(240.0, 1647333224.721431)
(243.0, 1647333224.721505)
(243.0, 1647333224.721579)
(243.0, 1647333224.721653)
(243.0, 1647333224.721727)
(244.0, 1647333224.721832)
(244.0, 1647333224.7219079)
(244.0, 1647333224.721982)
(246.0, 1647333224.722056)
(246.0, 1647333224.722132)
(246.0, 1647333224.7222059)
(248.0, 1647333224.722281)
(248.0, 1647333224.722355)
(248.0, 1647333224.7224278)
(248.0, 1647333224.7225)
(245.0, 1647333224.722573)
(245.0, 1647333224.722647)
(245.0, 1647333224.72272)
(248.0, 1647333224.722794)
(248.0, 1647333224.722867)
(245.0, 1647333224.72294)
(245.0, 1647333224.7230132)
(245.0, 1647333224.723086)
(245.0, 1647333224.723159)
(248.0, 1647333224.723232)
(248.0, 1647333224.723305)
(248.0, 1647333224.7233799)
(248.0, 1647333224.723453)
(249.0, 1647333224.723526)
(249.0, 1647333224.7236009)
(249.0, 1647333224.723674)
(252.0, 1647333224.723746)
(252.0, 1647333224.723795)
(252.0, 1647333224.723844)
(246.0, 1647333224.723892)
(246.0, 1647333224.723966)
(246.0, 1647333224.724038)
(246.0, 1647333224.724111)
(249.0, 1647333224.724184)
(249.0, 1647333224.724257)
(249.0, 1647333224.72433)
(249.0, 1647333224.724403)
(249.0, 1647333224.724475)
(249.0, 1647333224.724548)
(249.0, 1647333224.724621)
(249.0, 1647333224.724694)
(250.0, 1647333224.724767)
(250.0, 1647333224.7248158)
(250.0, 1647333224.724865)
(251.0, 1647333224.724913)
(251.0, 1647333224.724961)
(251.0, 1647333224.725009)
(251.0, 1647333224.725058)
(251.0, 1647333224.725108)
(251.0, 1647333224.725156)
(251.0, 1647333224.725205)
(251.0, 1647333224.7252538)
(251.0, 1647333224.725302)
(251.0, 1647333224.7253509)
(251.0, 1647333224.7254)
(251.0, 1647333224.725448)
(251.0, 1647333224.725496)
(251.0, 1647333224.725545)
