(580.0, 1647278894.228641)
(580.0, 1647278894.228759)
(580.0, 1647278894.228858)
(574.0, 1647278894.2289522)
(574.0, 1647278894.229043)
(568.0, 1647278894.229134)
(568.0, 1647278894.229224)
(567.0, 1647278894.229316)
(553.0, 1647278894.2294059)
(553.0, 1647278894.2294981)
(544.0, 1647278894.229588)
(544.0, 1647278894.2296782)
(531.0, 1647278894.229769)
(518.0, 1647278894.229859)
(518.0, 1647278894.22995)
(495.0, 1647278894.23004)
(495.0, 1647278894.230129)
(479.0, 1647278894.2302191)
(479.0, 1647278894.230308)
(453.0, 1647278894.230398)
(422.0, 1647278894.230487)
(389.0, 1647278894.230577)
(389.0, 1647278894.230667)
(359.0, 1647278894.230756)
(359.0, 1647278894.230846)
(334.0, 1647278894.230936)
(334.0, 1647278894.231025)
(322.0, 1647278894.231114)
(322.0, 1647278894.231204)
(316.0, 1647278894.231293)
(316.0, 1647278894.2313821)
(309.0, 1647278894.231471)
(309.0, 1647278894.23156)
(309.0, 1647278894.231665)
(309.0, 1647278894.231756)
(307.0, 1647278894.2318442)
(307.0, 1647278894.231963)
(309.0, 1647278894.2320352)
(309.0, 1647278894.232105)
(309.0, 1647278894.2321768)
(309.0, 1647278894.232248)
(310.0, 1647278894.2323189)
(310.0, 1647278894.2323892)
(309.0, 1647278894.23246)
(309.0, 1647278894.2325308)
(309.0, 1647278894.23261)
(309.0, 1647278894.232683)
(307.0, 1647278894.232754)
(307.0, 1647278894.232825)
(310.0, 1647278894.232897)
(310.0, 1647278894.2329679)
(309.0, 1647278894.2330399)
(309.0, 1647278894.233112)
(312.0, 1647278894.233183)
(312.0, 1647278894.233255)
(313.0, 1647278894.2333262)
(313.0, 1647278894.2334049)
(314.0, 1647278894.2334888)
(314.0, 1647278894.233568)
(311.0, 1647278894.233641)
(311.0, 1647278894.233711)
(311.0, 1647278894.233782)
(309.0, 1647278894.233852)
(309.0, 1647278894.233922)
(308.0, 1647278894.233999)
(308.0, 1647278894.2340732)
(312.0, 1647278894.234144)
(312.0, 1647278894.2342138)
(311.0, 1647278894.234285)
(311.0, 1647278894.234356)
(314.0, 1647278894.234427)
(314.0, 1647278894.234498)
(312.0, 1647278894.234569)
(312.0, 1647278894.23464)
(310.0, 1647278894.234711)
(310.0, 1647278894.234781)
(309.0, 1647278894.234853)
(309.0, 1647278894.234926)
(306.0, 1647278894.234997)
(306.0, 1647278894.2350678)
(309.0, 1647278894.23514)
(309.0, 1647278894.23521)
(309.0, 1647278894.235281)
(311.0, 1647278894.235351)
(311.0, 1647278894.235422)
(311.0, 1647278894.235494)
(311.0, 1647278894.235564)
(306.0, 1647278894.235636)
(306.0, 1647278894.2357068)
(313.0, 1647278894.2357771)
(313.0, 1647278894.235848)
(312.0, 1647278894.235919)
(312.0, 1647278894.235989)
(313.0, 1647278894.2360609)
(313.0, 1647278894.2361321)
(311.0, 1647278894.236202)
(311.0, 1647278894.2362728)
(311.0, 1647278894.236344)
(311.0, 1647278894.236415)
(310.0, 1647278894.236486)
(310.0, 1647278894.236557)
(309.0, 1647278894.236628)
(309.0, 1647278894.2366982)
(309.0, 1647278894.236769)
(309.0, 1647278894.2368388)
(313.0, 1647278894.236911)
(313.0, 1647278894.236983)
(313.0, 1647278894.237053)
(313.0, 1647278894.2371252)
(312.0, 1647278894.237199)
(312.0, 1647278894.23727)
(312.0, 1647278894.23734)
(312.0, 1647278894.237411)
(311.0, 1647278894.2374809)
(311.0, 1647278894.2375522)
(309.0, 1647278894.237623)
(309.0, 1647278894.2376928)
(310.0, 1647278894.2377641)
(310.0, 1647278894.237841)
(311.0, 1647278894.2379122)
(311.0, 1647278894.237983)
(312.0, 1647278894.238055)
(312.0, 1647278894.238126)
(311.0, 1647278894.238197)
(311.0, 1647278894.238278)
(311.0, 1647278894.238349)
(311.0, 1647278894.238423)
(311.0, 1647278894.238496)
(311.0, 1647278894.238554)
(310.0, 1647278894.238614)
(310.0, 1647278894.238671)
(312.0, 1647278894.2387269)
(312.0, 1647278894.238785)
(308.0, 1647278894.2388742)
(308.0, 1647278894.238931)
(308.0, 1647278894.238989)
(312.0, 1647278894.2390459)
(312.0, 1647278894.239104)
(309.0, 1647278894.239161)
(309.0, 1647278894.239224)
(308.0, 1647278894.239386)
(308.0, 1647278894.239447)
(311.0, 1647278894.271764)
(311.0, 1647278894.332242)
(310.0, 1647278894.361676)
(310.0, 1647278894.40678)
(310.0, 1647278894.451322)
(310.0, 1647278894.496843)
(312.0, 1647278894.5418081)
(312.0, 1647278894.6010082)
(310.0, 1647278894.646677)
(310.0, 1647278894.69188)
(311.0, 1647278894.736794)
(311.0, 1647278894.781822)
(315.0, 1647278894.82725)
(315.0, 1647278894.8867981)
(310.0, 1647278894.931467)
(310.0, 1647278894.977042)
(310.0, 1647278895.0218408)
(311.0, 1647278895.0668318)
(310.0, 1647278895.1144261)
(310.0, 1647278895.1718762)
(310.0, 1647278895.216758)
(309.0, 1647278895.261767)
(311.0, 1647278895.307028)
(311.0, 1647278895.412569)
(308.0, 1647278895.456529)
(308.0, 1647278895.472328)
(308.0, 1647278895.501407)
(307.0, 1647278895.546868)
(307.0, 1647278895.606174)
(313.0, 1647278895.651396)
(313.0, 1647278895.6969311)
(307.0, 1647278895.7565591)
(307.0, 1647278895.7862148)
(305.0, 1647278895.831124)
(305.0, 1647278895.8760262)
(310.0, 1647278895.920959)
(310.0, 1647278895.966335)
(309.0, 1647278896.026291)
(309.0, 1647278896.0713441)
(311.0, 1647278896.1013372)
(311.0, 1647278896.16118)
