2022-04-24 02:41:21,668 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 6)
2022-04-24 02:41:21,669 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (8, 3, 15) with prob = 0.0820208
2022-04-24 02:41:21,673 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.429, -0.202, 170.221)
2022-04-24 02:41:21,690 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:25,581 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:25,592 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 6)
2022-04-24 02:41:25,599 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (7, 2, 6) with prob = 1.0
2022-04-24 02:41:25,613 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 7.67730034778693e-06
2022-04-24 02:41:25,622 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.485, -0.507, 660.221)
2022-04-24 02:41:25,624 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.610, -50.000)
2022-04-24 02:41:25,666 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.125, 0.103, 710.221)
2022-04-24 02:41:25,682 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:27,421 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:27,442 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 4)
2022-04-24 02:41:27,445 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (5, 1, 16) with prob = 0.1035876
2022-04-24 02:41:27,448 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.485, 0.408, 486.920)
2022-04-24 02:41:27,523 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:30,879 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:30,894 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 4)
2022-04-24 02:41:30,896 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (6, 2, 4) with prob = 1.0
2022-04-24 02:41:30,897 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.1710622979036213e-06
2022-04-24 02:41:30,910 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.485, -0.507, 996.920)
2022-04-24 02:41:30,913 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.610, -90.000)
2022-04-24 02:41:30,915 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.180, 0.103, 1086.920)
2022-04-24 02:41:30,919 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:33,027 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:33,045 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 1, 4)
2022-04-24 02:41:33,047 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (8, 2, 6) with prob = 0.0588063
2022-04-24 02:41:33,054 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.382, -0.288, 1046.920)
2022-04-24 02:41:33,067 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:36,722 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:36,731 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 1, 4)
2022-04-24 02:41:36,733 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (7, 1, 4) with prob = 1.0
2022-04-24 02:41:36,735 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.714460304031246e-07
2022-04-24 02:41:36,739 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.532, -0.897, 1356.920)
2022-04-24 02:41:36,745 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.914, -90.000)
2022-04-24 02:41:36,750 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.077, 0.017, 1446.920)
2022-04-24 02:41:36,753 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:40,715 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:40,745 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 0, 8)
2022-04-24 02:41:40,755 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (6, 1, 10) with prob = 0.1317350
2022-04-24 02:41:40,783 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.433, -0.134, 1402.358)
2022-04-24 02:41:40,787 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:44,086 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:44,117 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 0, 8)
2022-04-24 02:41:44,126 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (7, 0, 8) with prob = 1.0
2022-04-24 02:41:44,128 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.8592226878401914e-08
2022-04-24 02:41:44,133 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.738, -1.048, 1792.358)
2022-04-24 02:41:44,138 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -1.219, -10.000)
2022-04-24 02:41:44,158 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.128, 0.171, 1802.358)
2022-04-24 02:41:44,175 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:50,484 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:50,508 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (10, 0, 11)
2022-04-24 02:41:50,537 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (6, 1, 10) with prob = 0.0742280
2022-04-24 02:41:50,562 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (1.126, -0.098, 1811.411)
2022-04-24 02:41:50,576 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:54,105 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:54,122 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (10, 0, 11)
2022-04-24 02:41:54,124 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (10, 1, 11) with prob = 1.0
2022-04-24 02:41:54,138 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 1.8614421934367732e-07
2022-04-24 02:41:54,146 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.430, -1.012, 2201.411)
2022-04-24 02:41:54,152 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.914, 50.000)
2022-04-24 02:41:54,160 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.094, -0.098, 2151.411)
2022-04-24 02:41:54,164 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:41:57,060 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:41:57,088 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 1, 12)
2022-04-24 02:41:57,091 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (9, 0, 9) with prob = 0.1779298
2022-04-24 02:41:57,093 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.342, 0.578, 2220.542)
2022-04-24 02:41:57,097 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:00,686 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:00,699 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 1, 12)
2022-04-24 02:42:00,704 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (10, 2, 12) with prob = 1.0
2022-04-24 02:42:00,705 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 5.608833398376108e-06
2022-04-24 02:42:00,726 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.561, -0.642, 2590.542)
2022-04-24 02:42:00,768 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.610, 70.000)
2022-04-24 02:42:00,776 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.037, -0.032, 2520.542)
2022-04-24 02:42:00,798 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:03,864 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:03,874 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 2, 12)
2022-04-24 02:42:03,876 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (8, 2, 14) with prob = 0.0716721
2022-04-24 02:42:03,879 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.751, 0.262, 2485.700)
2022-04-24 02:42:03,881 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:07,304 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:07,316 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 2, 12)
2022-04-24 02:42:07,322 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (11, 3, 13) with prob = 1.0
2022-04-24 02:42:07,329 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 3.4147711747655835e-10
2022-04-24 02:42:07,346 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.665, -0.347, 2955.700)
2022-04-24 02:42:07,368 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, -0.305, 90.000)
2022-04-24 02:42:07,384 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.164, -0.043, 2865.700)
2022-04-24 02:42:07,386 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:11,465 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:11,478 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 4, 13)
2022-04-24 02:42:11,480 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (10, 2, 2) with prob = 0.1036396
2022-04-24 02:42:11,484 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.215, 0.748, 3108.623)
2022-04-24 02:42:11,490 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:15,108 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:15,123 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 4, 13)
2022-04-24 02:42:15,132 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (11, 4, 13) with prob = 0.9999999
2022-04-24 02:42:15,137 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 3.7356375996845704e-11
2022-04-24 02:42:15,139 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.739, 0.139, 3338.623)
2022-04-24 02:42:15,142 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, 0.000, 90.000)
2022-04-24 02:42:15,143 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.090, 0.139, 3248.623)
2022-04-24 02:42:15,147 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:19,248 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:19,255 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 5, 15)
2022-04-24 02:42:19,257 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (11, 5, 1) with prob = 0.0712713
2022-04-24 02:42:19,258 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.040, 0.155, 3527.484)
2022-04-24 02:42:19,270 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2022-04-24 02:42:23,444 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2022-04-24 02:42:23,468 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 5, 15)
2022-04-24 02:42:23,475 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (6, 1, 8) with prob = 0.9999536
2022-04-24 02:42:23,524 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0002055760630516218
