(415.0, 1649877203.366882)
(470.0, 1649877205.4517288)
(439.0, 1649877207.581781)
(413.0, 1649877209.5764632)
(415.0, 1649877211.766329)
(487.0, 1649877213.808086)
(486.0, 1649877216.026967)
(163.0, 1649877218.1125708)
(156.0, 1649877220.272346)
(81.0, 1649877222.296772)
(92.0, 1649877224.487402)
(395.0, 1649877226.512754)
(347.0, 1649877228.7328389)
(121.0, 1649877230.7872682)
(136.0, 1649877232.99231)
(405.0, 1649877235.0471659)
(405.0, 1649877237.2368839)
(397.0, 1649877239.233026)
(399.0, 1649877241.452224)
(462.0, 1649877243.476918)
(431.0, 1649877245.682108)
(444.0, 1649877247.722483)
(440.0, 1649877249.912183)
(493.0, 1649877251.9368079)
