(-686.6116333007812, 1649876623.6911879)
(-706.2808227539062, 1649876625.8964028)
(-721.5640258789062, 1649876627.979826)
(-738.7476806640625, 1649876630.095619)
(-755.1282348632812, 1649876632.240682)
(-771.29736328125, 1649876634.340479)
(-786.3364868164062, 1649876636.424562)
(-801.4440307617188, 1649876638.5561962)
(-817.2611083984375, 1649876640.640312)
(-834.4283447265625, 1649876642.800193)
(-852.1749877929688, 1649876644.825139)
(-868.7662353515625, 1649876647.014978)
(-885.7157592773438, 1649876649.0847318)
(-906.318115234375, 1649876651.3197162)
(-928.8923950195312, 1649876653.3603609)
(-946.0298461914062, 1649876655.535199)
(-962.119384765625, 1649876657.529543)
(-980.14208984375, 1649876659.73522)
(-995.198486328125, 1649876661.775573)
(-1014.5703125, 1649876663.965397)
(-1032.89111328125, 1649876666.050127)
(-1049.1435546875, 1649876668.2101939)
