(-1047.0374755859375, 1649876782.191682)
(-1062.17578125, 1649876784.245999)
(-1078.9293212890625, 1649876786.451096)
(-1099.2933349609375, 1649876788.490745)
(-1114.63525390625, 1649876790.621943)
(-1132.859375, 1649876792.6758)
(-1152.7230224609375, 1649876794.836125)
(-1170.3115234375, 1649876796.980778)
(-1185.48193359375, 1649876799.140717)
(-1202.275146484375, 1649876801.300833)
(-1218.11181640625, 1649876803.416538)
(-1236.8060302734375, 1649876805.591614)
(-1252.9951171875, 1649876807.736036)
(-1272.3961181640625, 1649876809.8829062)
(-1293.6329345703125, 1649876811.9078898)
(-1309.47998046875, 1649876814.097384)
(-1328.0648193359375, 1649876816.107049)
(-1344.2159423828125, 1649876818.2974699)
(-1360.388671875, 1649876820.3224478)
(-1375.647216796875, 1649876822.496594)
(-1391.704833984375, 1649876824.597913)
(-1409.720947265625, 1649876826.802311)
