(-383.5646667480469, 1649876531.8597288)
(-400.993408203125, 1649876533.975476)
(-416.4400634765625, 1649876536.10557)
(-434.05279541015625, 1649876538.3097138)
(-451.8434143066406, 1649876540.4406211)
(-469.8474426269531, 1649876542.615675)
(-486.8570556640625, 1649876544.730693)
(-503.1201477050781, 1649876546.846095)
(-522.3200073242188, 1649876549.020729)
(-543.280029296875, 1649876551.1511831)
(-558.583984375, 1649876553.249789)
(-574.4391479492188, 1649876555.381032)
(-591.1847534179688, 1649876557.555687)
(-607.9293212890625, 1649876559.700918)
