(392.0, 1649876997.2701929)
(464.0, 1649876999.337953)
(378.0, 1649877001.5579462)
(95.0, 1649877003.597949)
(108.0, 1649877005.772971)
(451.0, 1649877007.903968)
(363.0, 1649877010.064322)
(68.0, 1649877012.118191)
(80.0, 1649877014.294007)
(120.0, 1649877016.319425)
(135.0, 1649877018.4942021)
(196.0, 1649877020.533317)
(178.0, 1649877022.738862)
(180.0, 1649877024.7782881)
(189.0, 1649877026.93931)
(267.0, 1649877029.0091252)
(273.0, 1649877031.2133188)
(397.0, 1649877033.268853)
(375.0, 1649877035.4589372)
(378.0, 1649877037.484292)
(383.0, 1649877039.673648)
(460.0, 1649877041.8028889)
(422.0, 1649877043.964294)
(134.0, 1649877046.108845)
