(-2078.63916015625, 1649876997.2828329)
(-2094.208251953125, 1649876999.35281)
(-2109.288818359375, 1649877001.558203)
(-2128.325439453125, 1649877003.613198)
(-2144.282958984375, 1649877005.773152)
(-2160.74560546875, 1649877007.904393)
(-2178.73828125, 1649877010.064557)
(-2199.04541015625, 1649877012.133931)
(-2214.380126953125, 1649877014.3088288)
(-2234.793701171875, 1649877016.335646)
(-2254.015625, 1649877018.508802)
(-2276.5654296875, 1649877020.533889)
(-2295.21142578125, 1649877022.753762)
(-2310.5546875, 1649877024.793699)
(-2326.041259765625, 1649877026.939381)
(-2347.708251953125, 1649877029.009286)
(-2363.89208984375, 1649877031.2138)
(-2379.927734375, 1649877033.2692459)
(-2401.28662109375, 1649877035.473208)
(-2420.317138671875, 1649877037.498819)
(-2438.812744140625, 1649877039.673701)
(-2458.108154296875, 1649877041.81784)
(-2474.445068359375, 1649877043.9784808)
(-2491.845703125, 1649877046.123793)
