(683.0, 1647823073.46457)
(679.0, 1647823073.479684)
(679.0, 1647823073.495456)
(679.0, 1647823073.5249732)
(679.0, 1647823073.539692)
(679.0, 1647823073.5555289)
(685.0, 1647823073.5849018)
(685.0, 1647823073.614719)
(685.0, 1647823073.630669)
(685.0, 1647823073.6600251)
(684.0, 1647823073.674767)
(684.0, 1647823073.690557)
(684.0, 1647823073.7349088)
(684.0, 1647823073.750564)
(682.0, 1647823073.779976)
(682.0, 1647823073.7949)
(682.0, 1647823073.8105159)
(682.0, 1647823073.8547578)
(686.0, 1647823073.869426)
(686.0, 1647823073.898968)
(686.0, 1647823073.9142148)
(686.0, 1647823073.929416)
(684.0, 1647823073.959745)
(684.0, 1647823073.974692)
(684.0, 1647823073.9905741)
(684.0, 1647823074.034879)
(684.0, 1647823074.049759)
(680.0, 1647823074.065276)
(680.0, 1647823074.095128)
(680.0, 1647823074.124983)
(680.0, 1647823074.155135)
(683.0, 1647823074.1697578)
(683.0, 1647823074.1855319)
(683.0, 1647823074.215486)
(683.0, 1647823074.245059)
(682.0, 1647823074.259922)
(682.0, 1647823074.275248)
(682.0, 1647823074.305074)
(682.0, 1647823074.319964)
(682.0, 1647823074.335389)
(683.0, 1647823074.364301)
(683.0, 1647823074.38006)
(683.0, 1647823074.4100962)
(683.0, 1647823074.4244952)
(683.0, 1647823074.440545)
(683.0, 1647823074.485408)
(684.0, 1647823074.5456572)
(684.0, 1647823074.5740108)
(684.0, 1647823074.605375)
(684.0, 1647823074.619009)
(689.0, 1647823074.649842)
(689.0, 1647823074.650162)
(689.0, 1647823074.680223)
(689.0, 1647823074.694726)
(689.0, 1647823074.739926)
(672.0, 1647823074.754806)
(672.0, 1647823074.78482)
(672.0, 1647823074.800114)
(672.0, 1647823074.829736)
(672.0, 1647823074.8301299)
(651.0, 1647823074.86035)
(651.0, 1647823074.889735)
(651.0, 1647823074.920219)
(651.0, 1647823074.950049)
(614.0, 1647823074.980213)
(614.0, 1647823075.009977)
(565.0, 1647823075.055031)
(565.0, 1647823075.069978)
(565.0, 1647823075.100558)
(565.0, 1647823075.129215)
(509.0, 1647823075.159007)
(509.0, 1647823075.174036)
