2022-05-04 15:54:29,568 | MainThread   | [ERROR   ] | _load_config        |: Error loading config file: connection.yaml
2022-05-04 15:54:29,569 | MainThread   | [ERROR   ] | _load_config        |: [Errno 2] No such file or directory: 'connection.yaml'
2022-05-04 15:55:16,315 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2022-05-04 15:55:16,318 | MainThread   | [WARNING ] | __del__             |: 'ArtemisBLEController' object has no attribute '_wait'
2022-05-04 15:55:31,125 | MainThread   | [ERROR   ] | _load_config        |: Error loading config file: connection.yaml
2022-05-04 15:55:31,127 | MainThread   | [ERROR   ] | _load_config        |: [Errno 2] No such file or directory: 'connection.yaml'
2022-05-04 15:57:25,707 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2022-05-04 15:57:25,714 | MainThread   | [WARNING ] | __del__             |: 'ArtemisBLEController' object has no attribute '_wait'
2022-05-04 15:57:32,773 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-04 15:57:32,776 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-04 15:57:32,786 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 15:57:44,123 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 15:57:46,746 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-05-04 15:57:47,750 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-05-04 15:57:47,752 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-05-04 15:57:50,585 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-05-04 15:59:30,971 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
